STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,FIRST_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,FATHER_HI_EDU_CD,MOTHER_HI_EDU_CD,DEGREE_GROUP_DESC,COST_OF_ATTEND,UNMET_NEED,1ST_YR_GPA,1ST_YR_EFFICIENCY
18,F,BGD 1,Y,N,Undeclared,N,,1150.0,200708,On Campus,0,150.0,4.0,,,Bachelors,0,0.0,2.6666666666666665,1.0
19,F,BGD 1,N,N,Undeclared,N,26.0,,200808,Off Campus,1,69.0,2.89,3.0,3.0,Bachelors,1355760,459300.0,2.6666666666666665,1.0
18,M,BGD 1,Y,N,Mathematics,N,,1020.0,201008,On Campus,1,150.0,3.39,2.0,4.0,Bachelors,0,0.0,2.666666666666667,1.0
18,M,BGD 1,Y,N,Undeclared,N,,1210.0,200708,On Campus,1,150.0,2.93,3.0,3.0,Bachelors,0,0.0,2.0,1.0
18,F,BGD 1,Y,N,Art,N,,1200.0,200808,Off Campus,1,69.0,3.86,3.0,2.0,Bachelors,1355760,278340.0,2.6666666666666665,1.0
18,M,BGD 1,Y,N,Political Science,N,,1050.0,201008,Off Campus,1,69.0,4.0,2.0,3.0,Bachelors,0,0.0,3.0,1.0
18,F,BGD 1,Y,N,Biology,N,,580.0,200508,Off Campus,1,0.0,3.93,,,Bachelors,0,0.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Biology,N,,750.0,200508,Off Campus,1,0.0,4.0,,,Bachelors,0,0.0,2.0,1.0
18,F,BGD 3,Y,N,Accounting,N,,1060.0,200508,Off Campus,1,150.0,4.0,3.0,3.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Undeclared,N,,,200608,Off Campus,1,69.0,3.69,3.0,3.0,Bachelors,0,0.0,2.6666666666666665,1.0
18,M,BGD 1,N,N,Criminal Justice,N,27.0,1060.0,200708,Off Campus,1,4501.0,3.34,3.0,3.0,Bachelors,1264860,203040.0,2.666666666666667,0.9166666666666667
18,F,BGD 1,Y,N,Undeclared,N,,1050.0,200708,Off Campus,0,69.0,4.0,1.0,2.0,Bachelors,1189920,-326880.0,3.333333333333333,1.0
18,F,BGD 6,Y,N,Biology,N,,1250.0,200808,Off Campus,1,69.0,3.93,,,Bachelors,0,0.0,2.0,1.0
17,M,BGD 1,Y,N,Psychology,N,,1230.0,200808,Off Campus,1,0.0,4.0,3.0,2.0,Bachelors,1255740,-347580.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,28.0,1220.0,201008,On Campus,1,69.0,3.96,3.0,3.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,,1220.0,201008,On Campus,1,150.0,3.35,2.0,3.0,Bachelors,0,0.0,2.0,1.0
18,F,BGD 1,Y,N,Undeclared,N,23.0,,201008,Off Campus,1,69.0,,2.0,3.0,Bachelors,0,0.0,2.6666666666666665,0.8823529411764706
17,M,BGD 1,N,N,Biology,N,,1040.0,200908,Off Campus,0,661.0,3.5,3.0,2.0,Bachelors,1324500,476580.0,3.0,1.0
18,M,BGD 6,Y,N,Biology,N,,1110.0,201008,On Campus,1,150.0,2.4,3.0,3.0,Bachelors,0,0.0,3.333333333333333,0.8823529411764706
18,F,BGD 1,N,N,Nursing,N,21.0,1050.0,200508,Off Campus,1,0.0,3.71,2.0,2.0,Bachelors,835680,409500.0,1.6666666666666665,1.0
18,F,BGD 3,Y,N,Nursing,N,19.0,930.0,200608,On Campus,1,138.0,3.72,3.0,3.0,Bachelors,1176420,-299160.0,2.0,1.0
18,F,BGD 1,Y,N,Undeclared,N,,1310.0,200608,On Campus,1,283.0,3.73,2.0,3.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Nursing,N,,1200.0,200708,Off Campus,1,69.0,3.5,3.0,3.0,Bachelors,1189920,-326880.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Pre-Nursing,N,,580.0,200808,Off Campus,0,69.0,3.12,2.0,2.0,Bachelors,0,0.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Pre-Nursing,N,,1300.0,200808,Off Campus,1,69.0,4.0,3.0,2.0,Bachelors,403680,-529620.0,3.333333333333333,1.0
18,F,BGD 3,Y,N,Nursing,N,,1110.0,200808,On Campus,1,138.0,3.73,3.0,2.0,Bachelors,0,0.0,3.0,1.0
18,F,BGD 1,Y,N,Chemistry,N,,610.0,200508,Off Campus,1,69.0,4.0,2.0,3.0,Bachelors,1151640,-438180.0,2.0,1.0
18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,,1120.0,200608,On Campus,1,0.0,3.57,,2.0,Bachelors,1176420,405060.0,2.333333333333333,1.0
18,F,BGD 1,N,N,Early Childhood Education,N,27.0,,200608,Off Campus,1,69.0,4.0,,,Bachelors,0,0.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Biology,N,,1310.0,200608,On Campus,1,90.0,3.81,,,Bachelors,0,0.0,2.3333333333333335,1.0
18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,,650.0,200708,On Campus,1,150.0,3.9,3.0,3.0,Bachelors,0,0.0,2.3333333333333335,1.0
18,F,BGD 3,Y,N,Biology,N,,,200808,Off Campus,1,69.0,4.0,3.0,3.0,Bachelors,0,0.0,2.3333333333333335,1.0
17,F,BGD 3,Y,N,Pre-Engineering/RETP,N,,1110.0,200808,Off Campus,1,0.0,4.0,3.0,2.0,Bachelors,1255740,502080.0,3.0,1.0
18,F,BGD 3,Y,N,Biology,N,,1060.0,200908,On Campus,1,150.0,4.0,2.0,3.0,Bachelors,1410180,-921300.0,2.3333333333333335,1.0
18,F,BGD 1,Y,N,Biology,N,,1220.0,201008,Off Campus,1,69.0,3.92,2.0,2.0,Bachelors,0,0.0,2.0,1.0
18,F,BGD 3,Y,N,Music Performance,N,,550.0,200508,Off Campus,1,188.0,3.43,3.0,3.0,Bachelors,1146420,-408180.0,1.6666666666666665,1.0
18,F,BGD 1,Y,N,Undeclared,N,,620.0,200508,On Campus,0,138.0,3.6,,,Bachelors,0,0.0,2.333333333333333,1.0
17,F,BGD 1,Y,N,Undeclared,N,,600.0,200508,Off Campus,1,0.0,4.0,3.0,2.0,Bachelors,0,0.0,1.6666666666666665,0.9117647058823529
19,M,BGD 1,Y,N,Music Performance,N,,600.0,200508,Off Campus,1,90.0,3.96,3.0,3.0,Bachelors,0,0.0,2.0,1.0
18,M,BGD 1,Y,N,Music Performance,N,,1220.0,200508,Off Campus,1,150.0,2.97,3.0,2.0,Bachelors,0,0.0,1.6666666666666665,1.0
18,F,BGD 1,Y,N,Art,N,,,200508,Off Campus,1,69.0,3.58,,,Bachelors,0,0.0,2.0,1.0
18,F,BGD 1,N,N,Music Performance,N,28.0,,200508,Off Campus,1,614.0,3.9,,,Bachelors,224640,-6000.0,1.6666666666666665,1.0
18,F,BGD 1,Y,N,Early Childhood Education,N,,620.0,200608,Off Campus,1,69.0,3.79,,,Bachelors,0,0.0,2.666666666666667,1.0
18,F,BGD 1,Y,N,Chemistry,N,,1020.0,200608,On Campus,1,69.0,4.0,1.0,2.0,Bachelors,1176420,587580.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Early Childhood Education,N,,590.0,200608,Off Campus,1,0.0,3.6,3.0,3.0,Bachelors,1504980,-283980.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Psychology,N,,1130.0,200608,Off Campus,0,90.0,3.54,3.0,2.0,Bachelors,1176420,56040.0,3.0,1.0
